iter,method,coef,se,CI_left,CI_right
1,Tlearner,1.02191464138329,0.026059972847664,0.970838033163777,1.0729912496028
1,Rlearner,1.00346610486146,0.0256122353661766,0.953267045980194,1.05366516374273
1,intercept,1.12269030900512,0.0304671711596251,1.06297465353226,1.18240596447799
1,AIPW,0.990472515442483,0.0281082690120869,0.935380308178793,1.04556472270617
2,Tlearner,1.04425943215745,0.0263669446937161,0.992581170175406,1.09593769413949
2,Rlearner,1.04284840595073,0.0258595097392808,0.992164698203873,1.09353211369758
2,intercept,1.14369579820244,0.0304361970336468,1.0840408520165,1.20335074438839
2,AIPW,1.02345650758821,0.0287837356958601,0.967040385624324,1.0798726295521
3,Tlearner,0.994557551538096,0.0263164204671614,0.942978315220447,1.04613678785574
3,Rlearner,1.00905519714442,0.0257423041952136,0.958601208042732,1.05950918624612
3,intercept,1.11858038035872,0.0302488677475414,1.05929259957354,1.1778681611439
3,AIPW,1.01664718998031,0.0367857023445693,0.944547213384951,1.08874716657566
4,Tlearner,0.960001454261546,0.02571466357338,0.909601639783157,1.01040126873993
4,Rlearner,0.969008466284144,0.0253560017878119,0.919311615988099,1.01870531658019
4,intercept,1.09705049253875,0.030233496443913,1.03779283950869,1.15630814556882
4,AIPW,0.958764253992562,0.0321436448724395,0.895762710042581,1.02176579794254
5,Tlearner,0.964683847154294,0.0255937380224246,0.914521042400588,1.014846651908
5,Rlearner,0.968516973012157,0.0251814331289917,0.919162271000229,1.01787167502408
5,intercept,1.04709749527503,0.0301230859388226,0.988056246834938,1.10613874371512
5,AIPW,0.959092080847979,0.0347574989899385,0.890967382827699,1.02721677886826
6,Tlearner,0.971402211887008,0.0261981652520983,0.920054751531866,1.02274967224215
6,Rlearner,0.981385533895146,0.0254469780428726,0.931510373415735,1.03126069437456
6,intercept,1.11064869418592,0.0304075553835868,1.05104988563409,1.17024750273775
6,AIPW,0.981350820469844,0.0254467839220524,0.931475123982622,1.03122651695707
7,Tlearner,0.963081084938,0.0257071756775076,0.912695946465841,1.01346622341016
7,Rlearner,0.967693125864066,0.0255105348661955,0.917693396299969,1.01769285542816
7,intercept,1.07181640646036,0.0294304156422138,1.01413279180162,1.1295000211191
7,AIPW,0.973200326388376,0.0284251546779332,0.917487023219627,1.02891362955712
8,Tlearner,1.02014973252696,0.0248198505951985,0.971503719258702,1.06879574579521
8,Rlearner,1.02408913475135,0.0248775083360873,0.975330114387525,1.07284815511518
8,intercept,1.12184851766855,0.0296444804880657,1.06374533591194,1.17995169942516
8,AIPW,0.991802687912286,0.0293629569498462,0.934251292290588,1.04935408353398
9,Tlearner,0.988217720593393,0.0266754253683906,0.935934847599061,1.04050059358772
9,Rlearner,0.980991396969403,0.0259919338053336,0.9300481428224,1.03193465111641
9,intercept,1.13152306426457,0.0302491334440282,1.07223476271428,1.19081136581487
9,AIPW,0.970905800798909,0.0288091354978602,0.914439895223103,1.02737170637471
10,Tlearner,0.956677258609205,0.0265827619164207,0.904576002643418,1.00877851457499
10,Rlearner,0.95223153463978,0.0258931149179041,0.901481961953131,1.00298110732643
10,intercept,1.06250056267051,0.0295584485295142,1.00456600355266,1.12043512178836
10,AIPW,0.961606103783506,0.0387253493204722,0.88570441911538,1.03750778845163
11,Tlearner,0.948965878217086,0.0262804278225448,0.897457186186594,1.00047457024758
11,Rlearner,0.95537860839226,0.0253649031632474,0.905664311720949,1.00509290506357
11,intercept,1.08582605896221,0.0303300300281531,1.02637920010703,1.14527291781739
11,AIPW,0.939678308027262,0.0293074925834576,0.882235622563685,0.997120993490839
12,Tlearner,0.974587634672634,0.0256599504100727,0.924295056023808,1.02488021332146
12,Rlearner,0.973672223715156,0.0250555020880065,0.924564342008095,1.02278010542222
12,intercept,1.10039462976201,0.0297763624212187,1.04203295941642,1.1587563001076
12,AIPW,0.980726772591393,0.0273984127315429,0.927025883637569,1.03442766154522
13,Tlearner,1.02485333954065,0.0261293869255834,0.973640682228396,1.07606599685291
13,Rlearner,1.01618061710785,0.0259998360076986,0.965221874928817,1.06713935928689
13,intercept,1.1398041074751,0.0313121320525243,1.07843232865216,1.20117588629805
13,AIPW,1.02310072022445,0.029943714209877,0.964411040373094,1.08179040007581
14,Tlearner,0.976227144203183,0.0266931868312829,0.92390945938127,1.0285448290251
14,Rlearner,0.980863124421986,0.0262381414274949,0.929437312202828,1.03228893664114
14,intercept,1.11019119767072,0.0303911562074447,1.05062453150413,1.16975786383731
14,AIPW,0.940362690396279,0.0315254468006775,0.878572814666951,1.00215256612561
15,Tlearner,1.03741103079582,0.02561925677348,0.987198210209114,1.08762385138252
15,Rlearner,1.03630651513369,0.0251149339397585,0.987082149137659,1.08553088112972
15,intercept,1.14799185410442,0.0295122605441625,1.09014782343786,1.20583588477098
15,AIPW,1.0564708108197,0.0278301570998624,1.00192370290397,1.11101791873543
16,Tlearner,1.00762787572024,0.0255742025651216,0.957503359759272,1.05775239168121
16,Rlearner,1.00659408280665,0.0250594842851445,0.95747839613662,1.05570976947668
16,intercept,1.1158097705038,0.029447748682826,1.05809218308546,1.17352735792214
16,AIPW,1.01176119286909,0.0293977692480393,0.954141565142932,1.06938082059525
17,Tlearner,1.02066849850672,0.0255852013053405,0.970522425411045,1.07081457160239
17,Rlearner,1.02148351693299,0.0250602089109967,0.972366410022386,1.07060062384359
17,intercept,1.12451512850332,0.030143882138491,1.06543311951188,1.18359713749476
17,AIPW,1.04452318509545,0.0268783996037955,0.991841521872016,1.09720484831889
18,Tlearner,1.03327433472161,0.025967311440399,0.982379339523098,1.08416932992013
18,Rlearner,1.03705958921369,0.0252584504948178,0.987553935938555,1.08656524248882
18,intercept,1.13457343282251,0.0296278158467781,1.07650291376282,1.19264395188219
18,AIPW,1.0265195393559,0.0320805408562996,0.963641679277552,1.08939739943425
19,Tlearner,0.974432142101346,0.0259756859912811,0.923520733084714,1.02534355111798
19,Rlearner,0.98069294393644,0.0254729917620381,0.930766797504359,1.03061909036852
19,intercept,1.10251374987858,0.0299353209047229,1.04384052090532,1.16118697885184
19,AIPW,0.94754452969809,0.0355726983249098,0.877822040981267,1.01726701841491
20,Tlearner,1.02099593691926,0.0253471831739084,0.971316370788856,1.07067550304966
20,Rlearner,1.02284204105027,0.0251358084090644,0.973576761846203,1.07210732025433
20,intercept,1.13126837169468,0.0300009765649156,1.07246645762745,1.19007028576192
20,AIPW,1.04402375662731,0.0266394620083416,0.991810411090965,1.09623710216366
21,Tlearner,1.01073066877307,0.0256626181650742,0.960432861420517,1.06102847612562
21,Rlearner,1.02010212875998,0.0250791658580571,0.970947866915877,1.06925639060407
21,intercept,1.12828197495074,0.0288784236135278,1.07168026466823,1.18488368523326
21,AIPW,0.999366730183163,0.0299492681541605,0.940666164601008,1.05806729576532
22,Tlearner,1.0443350073438,0.0424059641748556,0.961220844831387,1.12744916985621
